"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"1185","Merseyside","2016","july",2016-07-01,1,0,"325","53","30",8,"22",3,10,1,"200","5","25",9,"41",7,"164",9,"96",12,"18",2,"212","23","15"
"1186","Metropolitan and City","2016","july",2016-07-01,21,9,"1,804","862","143",75,"195",47,92,33,"1,022","194","283",54,"240",85,"1,075",102,"518",165,"106",29,"919","301","222"
"1187","Norfolk","2016","july",2016-07-01,0,0,"154","34","13",2,"20",3,6,0,"116","7","9",2,"40",6,"44",0,"69",6,"16",2,"98","4","12"
"1188","Northamptonshire","2016","july",2016-07-01,0,0,"122","36","7",0,"6",0,1,0,"90","8","4",0,"20",1,"33",0,"24",4,"11",14,"111","13","21"
"1189","Northumbria","2016","july",2016-07-01,6,1,"295","85","41",14,"52",10,2,4,"304","24","24",5,"77",19,"98",3,"158",31,"20",4,"198","37","13"
"1190","North Wales","2016","july",2016-07-01,1,0,"144","40","24",7,"19",2,0,0,"112","7","12",3,"29",4,"42",2,"45",12,"9",0,"121","19","6"
"1191","North Yorkshire","2016","july",2016-07-01,2,0,"101","32","10",0,"18",2,2,0,"114","10","4",4,"28",4,"63",5,"62",6,"12",0,"98","15","10"
"1192","Nottinghamshire","2016","july",2016-07-01,5,1,"225","63","37",7,"23",11,16,3,"189","20","22",6,"46",8,"132",9,"55",19,"15",4,"175","26","26"
"1193","South Wales","2016","july",2016-07-01,3,0,"332","124","28",9,"36",7,9,1,"252","20","19",4,"59",14,"201",10,"129",22,"19",1,"268","78","11"
"1194","South Yorkshire","2016","july",2016-07-01,4,3,"213","76","13",0,"25",4,13,1,"226","12","23",3,"60",8,"127",1,"87",4,"18",1,"174","29","20"
"1195","Staffordshire","2016","july",2016-07-01,1,4,"215","83","23",8,"30",0,5,0,"147","3","6",1,"48",7,"65",4,"94",21,"13",1,"162","39","15"
"1196","Suffolk","2016","july",2016-07-01,1,0,"114","19","7",4,"3",1,2,0,"67","6","9",2,"25",2,"39",1,"38",8,"6",1,"94","2","15"
"1197","Surrey","2016","july",2016-07-01,1,0,"115","39","27",5,"9",0,6,1,"50","1","5",1,"17",2,"37",2,"23",6,"1",0,"123","11","5"
"1198","Sussex","2016","july",2016-07-01,1,2,"224","62","21",16,"18",3,3,8,"146","13","16",5,"38",8,"90",5,"56",9,"12",3,"184","17","12"
"1199","Thames Valley","2016","july",2016-07-01,2,0,"351","122","40",22,"23",6,7,1,"210","22","24",6,"40",6,"124",5,"90",22,"22",3,"228","28","15"
"1200","Warwickshire","2016","july",2016-07-01,1,0,"60","13","8",1,"9",1,2,0,"47","6","11",4,"8",4,"19",2,"23",2,"5",1,"94","14","2"
"1201","West Mercia","2016","july",2016-07-01,0,0,"199","41","19",11,"18",6,1,1,"167","16","11",1,"35",8,"82",4,"68",13,"13",1,"182","45","3"
"1202","West Midlands","2016","july",2016-07-01,5,2,"655","209","83",25,"67",14,39,8,"548","44","67",15,"96",12,"243",15,"249",57,"75",3,"349","77","75"
"1203","West Yorkshire","2016","july",2016-07-01,7,1,"475","120","65",20,"56",8,19,5,"345","20","27",5,"89",13,"131",7,"135",26,"46",1,"298","43","32"
"1204","Wiltshire","2016","july",2016-07-01,0,0,"114","7","16",2,"11",0,1,0,"91","6","10",2,"21",2,"36",3,"45",5,"3",0,"61","4","3"
"1033","National","2016","august",2016-08-01,63,15,"10,343","3,064","1,088",362,"1,086",209,367,88,"7,147","640","832",131,"1,955",381,"4,006",267,"3,463",576,"707",104,"7,192","1,252","771"
"1034","Avon and Somerset","2016","august",2016-08-01,0,0,"272","51","49",20,"46",4,6,0,"154","19","16",0,"58",9,"78",14,"84",12,"8",5,"141","29","25"
"1035","Bedfordshire","2016","august",2016-08-01,0,0,"99","25","6",1,"7",2,10,1,"60","6","4",1,"13",4,"33",3,"24",2,"7",0,"83","17","10"
"1036","Cambridgeshire","2016","august",2016-08-01,1,1,"125","31","7",3,"7",1,4,4,"95","9","15",1,"21",5,"38",1,"34",5,"6",0,"73","7","14"
"1037","Cheshire","2016","august",2016-08-01,2,0,"264","61","23",9,"18",1,1,0,"173","12","17",1,"51",4,"74",4,"108",13,"16",1,"208","26","5"
"1038","Cleveland","2016","august",2016-08-01,0,0,"116","41","8",0,"38",9,4,0,"200","8","6",0,"28",10,"81",7,"47",7,"9",5,"65","6","6"
"1039","Cumbria","2016","august",2016-08-01,1,0,"102","14","11",0,"8",2,0,0,"98","6","5",1,"24",7,"33",0,"48",2,"4",0,"83","3","2"
"1040","Derbyshire","2016","august",2016-08-01,1,0,"152","36","4",0,"10",3,7,2,"113","8","7",2,"24",6,"55",5,"64",11,"17",4,"118","32","14"
"1041","Devon and Cornwall","2016","august",2016-08-01,0,1,"215","50","21",1,"21",7,10,0,"110","5","21",2,"50",3,"67",5,"61",10,"10",0,"171","27","6"
"1042","Dorset","2016","august",2016-08-01,4,0,"134","26","12",2,"16",2,4,1,"90","5","2",0,"23",4,"43",0,"40",4,"8",0,"106","11","17"
"1043","Durham","2016","august",2016-08-01,0,0,"91","25","6",0,"8",1,5,1,"121","6","19",1,"23",2,"19",0,"35",4,"8",1,"70","4","8"
"1044","Dyfed Powys","2016","august",2016-08-01,0,0,"83","12","7",2,"4",1,4,0,"32","2","7",1,"26",3,"59",4,"22",1,"7",0,"70","18","1"
"1045","Essex","2016","august",2016-08-01,4,0,"272","89","37",22,"17",4,11,3,"165","29","15",6,"59",5,"118",4,"68",15,"10",1,"206","36","24"
"1046","Gloucestershire","2016","august",2016-08-01,0,0,"74","33","3",1,"11",0,0,1,"48","4","6",1,"17",3,"27",2,"30",4,"5",1,"67","5","10"
"1047","GreaterManchester","2016","august",2016-08-01,3,0,"521","135","81",37,"61",5,10,6,"270","16","23",1,"93",12,"109",9,"154",20,"33",4,"348","60","36"
"1048","Gwent","2016","august",2016-08-01,1,0,"112","20","6",4,"9",2,5,1,"74","4","6",0,"25",9,"41",3,"20",0,"2",2,"75","11","4"
"1049","Hampshire","2016","august",2016-08-01,4,0,"236","45","39",7,"28",1,8,1,"172","6","21",2,"46",3,"68",4,"88",8,"11",2,"196","15","30"
"1050","Hertfordshire","2016","august",2016-08-01,0,1,"187","51","17",2,"10",3,6,0,"161","9","23",2,"30",10,"91",6,"54",8,"11",3,"112","26","10"
"1051","Humberside","2016","august",2016-08-01,2,0,"155","35","23",11,"17",6,11,1,"154","9","8",0,"46",1,"65",4,"82",7,"7",2,"111","18","10"
"1052","Kent","2016","august",2016-08-01,4,0,"265","66","25",12,"22",6,12,3,"136","16","33",3,"34",3,"98",4,"64",9,"25",1,"163","23","16"
"1053","Lancashire","2016","august",2016-08-01,2,0,"260","51","16",2,"43",5,5,1,"223","16","19",1,"43",10,"74",5,"127",23,"18",1,"208","38","6"
"1054","Leicestershire","2016","august",2016-08-01,2,0,"143","36","14",6,"11",5,2,0,"109","5","5",1,"35",7,"26",0,"32",2,"9",5,"112","32","7"
"1055","Lincolnshire","2016","august",2016-08-01,2,0,"160","31","7",0,"27",3,1,0,"118","17","9",1,"28",4,"25",0,"75",10,"20",6,"136","19","7"
"1056","Merseyside","2016","august",2016-08-01,0,0,"301","66","36",3,"23",0,13,1,"208","12","21",0,"74",7,"199",9,"100",9,"28",3,"270","30","7"
"1057","Metropolitan and City","2016","august",2016-08-01,13,5,"1,697","821","131",65,"179",49,84,26,"1,045","189","235",51,"244",73,"1,029",93,"491",153,"129",17,"973","298","190"
"1058","Norfolk","2016","august",2016-08-01,0,0,"201","45","23",1,"14",0,1,0,"135","9","8",0,"38",6,"68",0,"91",10,"18",3,"120","12","12"
"1059","Northamptonshire","2016","august",2016-08-01,3,0,"109","27","7",1,"16",0,1,0,"64","4","6",1,"18",2,"25",0,"29",4,"5",1,"88","13","11"
"1060","Northumbria","2016","august",2016-08-01,1,1,"287","96","50",14,"49",14,6,2,"236","38","31",4,"66",17,"52",10,"139",36,"19",3,"217","43","9"
"1061","North Wales","2016","august",2016-08-01,0,0,"153","37","20",2,"17",3,3,1,"109","8","14",4,"54",6,"35",3,"63",6,"6",1,"107","13","8"
"1062","North Yorkshire","2016","august",2016-08-01,0,0,"139","31","8",1,"16",9,3,0,"108","6","7",4,"33",6,"37",0,"58",8,"11",0,"122","5","8"
"1063","Nottinghamshire","2016","august",2016-08-01,0,0,"229","74","54",10,"16",4,14,3,"136","14","11",3,"52",13,"115",13,"82",13,"12",2,"167","21","40"
"1064","South Wales","2016","august",2016-08-01,3,2,"389","149","33",8,"40",11,15,3,"222","14","18",1,"84",11,"150",4,"121",14,"18",5,"245","51","11"
"1065","South Yorkshire","2016","august",2016-08-01,0,0,"211","63","8",1,"26",3,8,1,"257","12","9",1,"65",10,"78",5,"97",9,"15",1,"186","24","25"
"1066","Staffordshire","2016","august",2016-08-01,3,0,"246","70","20",7,"31",4,16,1,"153","13","9",0,"46",15,"69",0,"61",9,"21",3,"167","37","8"
"1067","Suffolk","2016","august",2016-08-01,0,0,"124","19","4",2,"13",1,2,0,"58","7","4",1,"28",1,"28",1,"38",8,"5",0,"77","5","7"
"1068","Surrey","2016","august",2016-08-01,0,0,"118","32","22",1,"10",1,2,0,"35","2","5",0,"12",2,"34",1,"29",6,"2",0,"104","7","9"
"1069","Sussex","2016","august",2016-08-01,0,0,"241","63","25",17,"12",2,3,3,"128","4","17",4,"31",9,"111",4,"60",14,"16",5,"190","16","13"
"1070","Thames Valley","2016","august",2016-08-01,2,1,"353","137","54",28,"38",12,10,5,"197","17","37",6,"48",22,"115",5,"118",24,"30",1,"274","49","19"
"1071","Warwickshire","2016","august",2016-08-01,0,0,"87","20","5",3,"5",0,2,0,"66","4","4",1,"18",5,"25",0,"23",4,"4",0,"88","23","6"
"1072","West Mercia","2016","august",2016-08-01,4,2,"213","47","33",6,"24",2,7,2,"176","14","5",1,"37",10,"74",5,"68",8,"11",1,"209","29","13"
"1073","West Midlands","2016","august",2016-08-01,1,1,"655","164","61",32,"59",11,39,9,"587","37","61",15,"109",13,"245",15,"255",41,"66",14,"337","62","76"
"1074","West Yorkshire","2016","august",2016-08-01,0,0,"452","127","61",15,"54",6,11,5,"282","16","34",5,"81",28,"156",11,"133",17,"34",0,"262","43","27"
"1075","Wiltshire","2016","august",2016-08-01,0,0,"100","12","11",3,"5",4,1,0,"69","3","9",1,"20",1,"39",4,"46",6,"6",0,"67","8","4"
"1377","National","2016","september",2016-09-01,73,9,"10,720","3,101","1,118",408,"1,265",199,376,93,"7,047","682","887",153,"1,995",348,"3,964",284,"3,443",562,"771",144,"7,341","1,305","849"
"1378","Avon and Somerset","2016","september",2016-09-01,2,0,"316","66","53",14,"32",4,4,0,"213","19","18",1,"60",7,"91",1,"89",15,"15",1,"221","32","32"
"1379","Bedfordshire","2016","september",2016-09-01,3,0,"67","26","11",0,"16",2,7,2,"55","7","2",1,"15",4,"33",1,"28",1,"7",5,"86","18","13"
"1380","Cambridgeshire","2016","september",2016-09-01,0,0,"144","29","9",2,"8",2,0,1,"96","12","5",2,"21",3,"24",2,"36",14,"6",5,"71","10","9"
"1381","Cheshire","2016","september",2016-09-01,0,0,"272","65","18",10,"17",1,4,0,"168","7","14",1,"39",5,"75",5,"88",14,"13",1,"184","14","7"
"1382","Cleveland","2016","september",2016-09-01,0,0,"131","41","10",1,"45",3,3,3,"176","16","8",0,"48",11,"68",7,"62",7,"10",2,"88","12","11"
"1383","Cumbria","2016","september",2016-09-01,1,0,"101","15","4",2,"11",0,0,0,"84","4","8",0,"23",2,"49",0,"33",6,"5",1,"79","9","2"
"1384","Derbyshire","2016","september",2016-09-01,3,0,"164","48","9",0,"15",7,8,1,"125","15","6",3,"30",6,"43",3,"54",4,"15",0,"93","24","17"
"1385","Devon and Cornwall","2016","september",2016-09-01,0,1,"212","35","20",2,"24",2,6,0,"95","5","12",3,"28",3,"62",3,"63",7,"5",2,"203","10","10"
"1386","Dorset","2016","september",2016-09-01,0,0,"156","26","16",3,"11",4,0,1,"85","1","8",2,"38",6,"49",0,"55",4,"8",1,"97","10","8"
"1387","Durham","2016","september",2016-09-01,1,0,"107","33","5",0,"12",0,3,0,"82","5","2",0,"19",2,"15",0,"31",6,"8",0,"95","9","5"
"1388","Dyfed Powys","2016","september",2016-09-01,2,0,"85","18","5",4,"3",0,1,0,"40","3","9",2,"11",3,"51",3,"34",3,"7",1,"88","16","2"
"1389","Essex","2016","september",2016-09-01,1,0,"258","84","50",15,"26",4,6,1,"133","20","20",8,"48",7,"91",6,"50",16,"12",2,"181","27","22"
"1390","Gloucestershire","2016","september",2016-09-01,0,0,"75","16","1",1,"7",2,0,0,"54","2","8",1,"16",0,"26",4,"18",3,"2",0,"59","5","12"
"1391","GreaterManchester","2016","september",2016-09-01,4,0,"619","127","92",30,"84",7,24,4,"254","21","29",6,"105",13,"94",8,"151",16,"42",16,"330","79","20"
"1392","Gwent","2016","september",2016-09-01,0,0,"79","17","6",5,"10",2,3,0,"80","4","5",3,"24",5,"46",4,"29",7,"6",1,"83","11","6"
"1393","Hampshire","2016","september",2016-09-01,2,0,"260","35","42",6,"20",3,6,1,"179","15","17",3,"40",8,"69",7,"84",9,"26",2,"204","18","4"
"1394","Hertfordshire","2016","september",2016-09-01,1,1,"176","46","10",0,"23",4,6,0,"145","16","24",4,"30",8,"83",3,"30",8,"17",1,"124","25","14"
"1395","Humberside","2016","september",2016-09-01,0,0,"215","29","29",16,"28",5,10,2,"167","10","13",0,"56",4,"54",4,"76",4,"6",2,"114","28","10"
"1396","Kent","2016","september",2016-09-01,8,2,"261","68","17",12,"24",6,13,0,"140","9","45",3,"50",7,"89",5,"90",16,"29",4,"163","27","21"
"1397","Lancashire","2016","september",2016-09-01,4,0,"234","61","24",1,"57",8,5,1,"206","11","25",1,"65",21,"70",10,"93",5,"28",3,"193","40","12"
"1398","Leicestershire","2016","september",2016-09-01,4,0,"165","33","32",5,"14",3,11,0,"112","7","11",2,"36",8,"22",3,"51",5,"8",4,"102","20","11"
"1399","Lincolnshire","2016","september",2016-09-01,0,0,"160","31","1",0,"22",1,0,0,"62","5","6",2,"27",7,"31",0,"59",5,"16",7,"138","21","8"
"1400","Merseyside","2016","september",2016-09-01,1,0,"359","94","30",3,"23",4,13,1,"188","17","16",5,"49",8,"179",17,"99",11,"25",5,"261","23","14"
"1401","Metropolitan and City","2016","september",2016-09-01,9,4,"1,732","834","181",84,"217",47,100,35,"924","220","255",50,"265",68,"1,155",111,"520",165,"145",30,"992","317","227"
"1402","Norfolk","2016","september",2016-09-01,3,0,"152","32","10",2,"12",2,1,0,"101","5","10",1,"37",3,"65",1,"88",6,"15",8,"105","3","4"
"1403","Northamptonshire","2016","september",2016-09-01,0,0,"95","30","5",0,"11",0,6,4,"55","2","4",2,"28",7,"20",0,"27",5,"6",1,"96","15","13"
"1404","Northumbria","2016","september",2016-09-01,1,0,"279","116","34",29,"65",5,8,1,"226","29","19",3,"82",12,"57",6,"131",31,"12",4,"251","40","25"
"1405","North Wales","2016","september",2016-09-01,0,0,"184","38","19",2,"14",1,4,1,"113","8","14",1,"38",5,"51",1,"61",4,"14",1,"115","17","4"
"1406","North Yorkshire","2016","september",2016-09-01,1,0,"134","35","4",2,"18",2,1,0,"111","14","15",3,"18",2,"48",3,"66",6,"14",2,"123","8","8"
"1407","Nottinghamshire","2016","september",2016-09-01,2,0,"249","74","42",14,"22",4,3,1,"166","15","10",3,"51",9,"97",11,"71",13,"6",4,"164","26","27"
"1408","South Wales","2016","september",2016-09-01,4,0,"390","137","27",14,"54",6,9,4,"221","22","20",1,"59",10,"143",8,"108",9,"22",5,"228","64","21"
"1409","South Yorkshire","2016","september",2016-09-01,0,0,"218","51","5",2,"27",2,9,3,"241","14","9",3,"60",9,"75",2,"95",9,"11",2,"187","24","22"
"1410","Staffordshire","2016","september",2016-09-01,1,0,"233","67","23",7,"23",3,4,0,"169","8","15",0,"51",9,"57",1,"68",10,"17",2,"134","22","25"
"1411","Suffolk","2016","september",2016-09-01,0,0,"115","25","6",1,"7",0,2,2,"80","2","16",0,"25",1,"38",2,"32",3,"8",0,"100","5","14"
"1412","Surrey","2016","september",2016-09-01,0,0,"132","42","15",7,"17",1,1,0,"39","5","23",5,"21",2,"54",4,"34",5,"4",0,"109","8","12"
"1413","Sussex","2016","september",2016-09-01,1,0,"246","58","28",14,"16",6,7,0,"152","14","14",2,"40",7,"86",2,"65",11,"11",2,"186","14","12"
"1414","Thames Valley","2016","september",2016-09-01,1,1,"351","103","42",35,"30",6,17,4,"263","16","29",5,"51",9,"125",5,"100",11,"18",4,"286","46","32"
"1415","Warwickshire","2016","september",2016-09-01,0,0,"76","11","12",4,"8",2,4,0,"58","3","8",2,"11",2,"14",1,"29",4,"6",0,"84","10","5"
"1416","West Mercia","2016","september",2016-09-01,1,0,"218","61","29",9,"14",4,5,0,"177","8","15",0,"38",5,"73",1,"100",7,"20",0,"207","58","16"
"1417","West Midlands","2016","september",2016-09-01,8,0,"730","188","60",34,"88",15,41,17,"628","43","61",8,"121",17,"217",12,"252",53,"77",11,"353","83","76"
"1418","West Yorkshire","2016","september",2016-09-01,3,0,"459","136","69",16,"76",13,18,3,"300","19","32",11,"96",23,"142",17,"152",20,"39",2,"306","50","35"
"1419","Wiltshire","2016","september",2016-09-01,1,0,"111","20","13",0,"14",6,3,0,"84","4","7",0,"25",0,"33",0,"41",4,"10",0,"58","7","1"
"1334","National","2016","october",2016-10-01,92,27,"10,314","2,865","1,039",370,"1,227",185,363,105,"7,089","570","922",147,"1,886",353,"3,876",264,"3,184",566,"728",97,"7,091","1,273","831"
"1335","Avon and Somerset","2016","october",2016-10-01,3,1,"312","67","43",9,"42",6,5,0,"405","28","22",1,"73",16,"113",7,"137",17,"14",1,"216","37","23"
"1336","Bedfordshire","2016","october",2016-10-01,0,0,"74","25","6",2,"9",0,6,1,"74","6","7",1,"15",2,"27",1,"16",4,"6",1,"84","34","14"
"1337","Cambridgeshire","2016","october",2016-10-01,3,0,"131","18","10",2,"21",1,6,4,"96","9","8",0,"26",3,"32",2,"32",3,"8",0,"86","9","16"
"1338","Cheshire","2016","october",2016-10-01,2,0,"265","65","21",14,"29",2,1,1,"146","9","8",1,"51",9,"82",2,"94",11,"16",3,"210","22","8"
"1339","Cleveland","2016","october",2016-10-01,0,0,"128","36","5",5,"32",6,1,2,"193","14","16",1,"28",12,"51",2,"47",1,"10",0,"86","9","4"
"1340","Cumbria","2016","october",2016-10-01,0,0,"87","8","1",0,"10",0,0,0,"94","3","10",0,"19",4,"24",1,"37",3,"8",0,"62","9","3"
"1341","Derbyshire","2016","october",2016-10-01,0,0,"171","31","8",1,"16",9,5,1,"113","21","13",2,"39",7,"47",6,"73",7,"12",2,"103","21","11"
"1342","Devon and Cornwall","2016","october",2016-10-01,1,0,"191","33","15",6,"35",2,5,0,"106","4","13",3,"27",5,"59",4,"52",11,"6",2,"163","20","12"
"1343","Dorset","2016","october",2016-10-01,4,0,"141","19","7",1,"14",4,2,0,"77","3","7",2,"29",2,"29",1,"53",2,"6",0,"68","9","12"
"1344","Durham","2016","october",2016-10-01,1,0,"111","20","4",2,"14",2,3,0,"85","6","3",1,"22",1,"18",2,"24",4,"7",0,"78","3","2"
"1345","Dyfed Powys","2016","october",2016-10-01,1,0,"69","15","3",2,"11",1,1,1,"35","1","4",0,"16",5,"48",1,"26",2,"4",0,"58","15","1"
"1346","Essex","2016","october",2016-10-01,1,3,"292","68","49",17,"26",4,11,0,"151","16","20",11,"46",5,"75",5,"46",6,"14",5,"176","33","14"
"1347","Gloucestershire","2016","october",2016-10-01,0,0,"66","19","5",0,"6",0,0,1,"55","6","7",2,"15",1,"18",0,"13",4,"4",0,"67","6","7"
"1348","GreaterManchester","2016","october",2016-10-01,4,0,"561","135","73",31,"59",6,27,3,"225","7","25",3,"91",18,"108",10,"149",11,"45",7,"360","70","21"
"1349","Gwent","2016","october",2016-10-01,2,0,"104","21","7",1,"14",3,1,0,"81","7","6",0,"18",4,"31",4,"24",3,"6",1,"83","14","4"
"1350","Hampshire","2016","october",2016-10-01,3,1,"289","47","39",13,"27",2,4,1,"191","7","31",5,"32",6,"63",1,"58",14,"21",2,"178","15","18"
"1351","Hertfordshire","2016","october",2016-10-01,1,0,"180","56","16",7,"24",2,5,0,"166","14","20",2,"27",8,"83",6,"39",11,"12",1,"164","34","12"
"1352","Humberside","2016","october",2016-10-01,3,1,"215","24","14",3,"27",4,12,6,"132","10","10",1,"32",5,"57",3,"68",5,"8",0,"112","11","18"
"1353","Kent","2016","october",2016-10-01,8,0,"273","88","20",9,"26",4,11,2,"162","14","26",3,"53",12,"89",1,"54",16,"30",3,"160","12","15"
"1354","Lancashire","2016","october",2016-10-01,1,0,"224","55","15",3,"47",3,16,5,"196","8","20",2,"44",6,"83",11,"100",16,"20",4,"189","43","12"
"1355","Leicestershire","2016","october",2016-10-01,1,0,"163","22","30",6,"18",3,7,4,"109","7","17",4,"40",6,"42",5,"49",12,"6",1,"121","22","6"
"1356","Lincolnshire","2016","october",2016-10-01,0,2,"130","30","6",0,"21",0,1,0,"77","6","10",1,"17",1,"28",1,"32",8,"12",3,"107","37","7"
"1357","Merseyside","2016","october",2016-10-01,2,1,"307","54","39",6,"17",1,3,1,"163","6","20",3,"42",9,"182",17,"72",13,"31",5,"195","24","22"
"1358","Metropolitan and City","2016","october",2016-10-01,19,14,"1,703","753","170",63,"187",40,88,34,"880","149","265",53,"239",66,"1,039",101,"463",150,"103",26,"964","290","224"
"1359","Norfolk","2016","october",2016-10-01,1,0,"195","42","13",6,"12",0,3,1,"144","6","11",5,"55",6,"63",3,"89",4,"10",2,"118","4","9"
"1360","Northamptonshire","2016","october",2016-10-01,2,0,"112","32","6",0,"11",3,5,1,"72","8","10",0,"28",2,"30",1,"28",3,"10",3,"97","12","8"
"1361","Northumbria","2016","october",2016-10-01,3,0,"251","93","52",17,"41",7,6,5,"239","23","14",1,"74",15,"79",7,"146",34,"14",3,"225","38","19"
"1362","North Wales","2016","october",2016-10-01,1,1,"145","39","16",6,"20",2,1,0,"124","7","16",4,"28",4,"44",0,"60",6,"10",1,"113","15","10"
"1363","North Yorkshire","2016","october",2016-10-01,2,0,"136","19","2",3,"16",3,2,0,"106","7","6",1,"35",3,"35",2,"59",6,"21",1,"122","14","8"
"1364","Nottinghamshire","2016","october",2016-10-01,2,1,"271","80","38",10,"23",6,7,1,"166","21","17",0,"54",9,"121",8,"79",19,"16",0,"131","39","21"
"1365","South Wales","2016","october",2016-10-01,2,0,"354","135","22",13,"45",7,11,6,"258","14","22",3,"74",11,"192",6,"108",21,"25",3,"218","42","12"
"1366","South Yorkshire","2016","october",2016-10-01,2,0,"183","50","2",0,"31",6,12,3,"220","20","11",3,"60",12,"83",5,"88",8,"8",1,"182","22","27"
"1367","Staffordshire","2016","october",2016-10-01,3,0,"208","68","23",8,"17",3,1,1,"146","5","12",4,"62",9,"56",4,"62",6,"14",1,"132","31","16"
"1368","Suffolk","2016","october",2016-10-01,0,0,"123","26","11",2,"7",1,1,1,"55","4","3",1,"29",2,"45",3,"45",7,"4",1,"90","6","12"
"1369","Surrey","2016","october",2016-10-01,0,0,"115","27","16",7,"7",1,4,2,"40","8","10",3,"16",1,"23",0,"30",6,"6",2,"108","5","11"
"1370","Sussex","2016","october",2016-10-01,0,0,"200","32","30",6,"25",2,6,0,"125","5","30",4,"33",7,"75",2,"65",8,"9",2,"186","20","10"
"1371","Thames Valley","2016","october",2016-10-01,6,0,"353","120","47",30,"49",8,14,5,"216","15","29",7,"42",14,"140",8,"92",17,"27",2,"274","35","26"
"1372","Warwickshire","2016","october",2016-10-01,0,0,"66","13","7",1,"11",0,6,0,"86","1","8",3,"12",1,"15",0,"27",5,"5",0,"87","14","7"
"1373","West Mercia","2016","october",2016-10-01,2,0,"228","39","30",6,"25",4,7,4,"137","7","7",3,"50",4,"59",1,"67",9,"11",0,"200","28","11"
"1374","West Midlands","2016","october",2016-10-01,4,1,"645","192","55",29,"80",17,41,6,"586","37","71",2,"90",17,"225",15,"235",54,"99",5,"399","91","92"
"1375","West Yorkshire","2016","october",2016-10-01,2,1,"449","134","56",21,"69",10,15,2,"300","18","47",1,"91",17,"134",3,"116",17,"23",3,"255","53","40"
"1376","Wiltshire","2016","october",2016-10-01,0,0,"93","15","7",2,"6",0,0,0,"57","3","10",0,"12",6,"29",2,"30",2,"7",0,"64","5","6"
"1291","National","2016","november",2016-11-01,89,30,"10,803","2,918","1,179",489,"1,197",226,315,97,"7,334","612","895",137,"1,851",353,"4,007",270,"3,245",584,"747",120,"7,547","1,250","838"
"1292","Avon and Somerset","2016","november",2016-11-01,0,0,"257","74","53",14,"39",8,9,0,"224","9","13",4,"73",10,"91",4,"78",9,"22",4,"209","29","29"
